Account_ANZSIC,WPF_Flag,LPF_Flag,OCF_Flag,PIF_Flag,Lead_Source,Payment_Terms,EVF_Flag,Weekend_Surcharge_Flag,Account_Number,Area,Banding,Billing_Cycle,Group_Code,Site_Address_City,Site_Address_Postcode,Account_Start_Date,Account_Start_Month_Date,Billing_Address_State,Account_Status,Account_Type,VRP_Instance,VRP_Industrial_Municipal,Paper_Invoice_Billing_Cycle_Flag,SK_Customer,Account_Stop_Date,Account_Restart_Date,Account_Suspend_Date,Account_Stop_Month_Date,Account_Restart_Month_Date,Account_Suspend_Month_Date,Sub_Banding,Account_User_Number,Billing_Address_Postcode,SK_Account_Restart_Date,SK_Account_Restart_Month_Date,SK_Account_Start_Date,SK_Account_Start_Month_Date,SK_Account_Stop_Date,SK_Account_Stop_Month_Date,SK_Account_Suspend_Date,SK_Account_Suspend_Month_Date,Source_System,Accountable_Territory_Manager_Code,Uprate_Category,Company_ID,ANZSIC_Division,ANZSIC_Subdivision,ANZSIC_Group,Futile_Reason_Code,Area_Depot_Description,Site_ID,Is_Contracted,Is_NewBusiness
G400,0,0,0,0,T,30,0,0,10356377,QBW,National,ENG,EGF,CANNONVALE,4802,2019-09-13,2019-09-01,QLD,A,INP,125,I,0,1009017,NULL,NULL,NULL,NULL,NULL,NULL,National,EGF,4014,NULL,NULL,20190913,20190901,NULL,NULL,NULL,NULL,VRP,1500,NAT,2,Retail Trade,Fuel Retailing,Fuel Retailing,"B,BN,CO,G,L,SH,SL,SO,WA,",Bowen,92335,NULL,0
G400,1,1,0,1,W,14,0,1,73439416,WMA,SME,WCA,204,JOONDALUP,6027,2021-02-09,2021-02-01,WA,A,A,170,I,0,2398369,NULL,NULL,NULL,NULL,NULL,NULL,SME,0002007,6027,NULL,NULL,20210209,20210201,NULL,NULL,NULL,NULL,VRP,NULL,STA,4,Retail Trade,Fuel Retailing,Fuel Retailing,",B,BN,CO,G,L,SH,SL,SO,WA,",Malaga,NULL,1,0
C211,1,1,0,1,M,14,0,0,53958195,WWB,Inside Sales,WME,GEN,BUSSELTON,6280,2021-03-09,2021-03-01,WA,A,D,735,I,0,3592343,NULL,NULL,NULL,NULL,NULL,NULL,Inside Sales,NULL,6280,NULL,NULL,20210309,20210301,NULL,NULL,NULL,NULL,VRP,6247,GEN,18,Manufacturing,Primary Metal and Metal Product Manufacturing,Basic Ferrous Metal Manufacturing,",B,BN,CO,G,L,SH,SL,SO,WA,",WB Bunbury IND,NULL,1,0
E301,0,0,0,0,TFA,30,0,0,82027121,QSS,Inside Sales,MEC,M75,CHELMER,4068,2020-11-09,2020-11-01,QLD,C,T,110,I,0,2387173,2020-12-23,NULL,NULL,2020-12-01,NULL,NULL,Inside Sales,FUSCEX,4064,NULL,NULL,20201109,20201101,20201223,20201201,NULL,NULL,VRP,4295,GEN,1,Construction,Building Construction,Residential Building Construction,NULL,SmartSkip,NULL,NULL,0
L671,1,1,1,1,N,14,1,1,18845876,NAR,Inside Sales,MEO,GEN,ARMIDALE,2350,2020-09-28,2020-09-01,VIC,C,T,320,I,0,3954504,2020-10-15,NULL,NULL,2020-10-01,NULL,NULL,Inside Sales,NULL,3723,NULL,NULL,20200928,20200901,20201015,20201001,NULL,NULL,VRP,2280,GEN,6,"Rental, Hiring and Real Estate Services",Property Operators and Real Estate Services,Property Operators,",B,BN,CO,G,L,SH,SL,SO,WA,",Armidale,NULL,NULL,0
G400,0,1,0,1,T,14,1,0,13683007,QBU,SME,MEO,GEN,BUNDABERG,4670,2006-06-16,2006-06-01,QLD,C,D,701,I,0,2234875,2019-12-20,NULL,NULL,2019-12-01,NULL,NULL,SME,NULL,4670,NULL,NULL,20060616,20060601,20191220,20191201,NULL,NULL,VRP,4283,GEN,15,Retail Trade,Fuel Retailing,Fuel Retailing,"B,BN,CO,G,L,SH,SL,SO,WA",Bundaberg,NULL,NULL,0
G411,0,0,0,0,T,30,0,0,48605615,SPA,National,MNW,WOL,SEAFORD,5169,2008-09-08,2008-09-01,QLD,C,INP,360,I,0,1901346,2020-02-01,NULL,NULL,2020-02-01,NULL,NULL,National,NULL,4014,NULL,NULL,20080908,20080901,20200201,20200201,NULL,NULL,VRP,1500,NAT,10,Retail Trade,Food Retailing,Supermarket and Grocery Stores,NULL,Port Adelaide,5646,NULL,0
C133,1,1,1,1,N,14,1,1,80819765,VTN,Inside Sales,MEO,GEN,CARLTON,3053,2021-02-05,2021-02-01,VIC,A,D,345,I,0,3983671,NULL,NULL,NULL,NULL,NULL,NULL,Inside Sales,NULL,3053,NULL,NULL,20210205,20210201,NULL,NULL,NULL,NULL,VRP,1328,GEN,8,Manufacturing,"Textile, Leather, Clothing and Footwear Manufacturing",Textile Product Manufacturing,",B,BN,CO,G,L,SH,SL,SO,WA,",Metro Northern,NULL,1,0
NULL,0,0,0,1,T,30,0,0,27910152,NYY,Unassigned,M3O,GEN,YOUNG,2594,2016-08-01,2016-08-01,NSW,Z,T,804,I,0,233313,2017-03-16,NULL,NULL,2017-03-01,NULL,NULL,Unassigned,ACCOUNT,2594,NULL,NULL,20160801,20160801,20170316,20170301,NULL,NULL,VRP,2328,GEN,21,NULL,NULL,NULL,NULL,Young,NULL,NULL,0
E301,0,1,0,1,A,30,0,0,18368203,QBC,SME,WEO,GEN,NARANGBA,4504,2019-05-20,2019-05-01,QLD,Z,T,110,I,0,94795,2019-06-11,NULL,NULL,2019-06-01,NULL,NULL,SME,FUSCEX,4556,NULL,NULL,20190520,20190501,20190611,20190601,NULL,NULL,VRP,4266,GEN,1,Construction,Building Construction,Residential Building Construction,NULL,Brisbane C&D,NULL,NULL,0
