Weight_Density,Charge_Cycle,Charge_Description,Charge_ID,Contract_Start_Date,SK_Contract_Start_Date,SK_Charge,Price,SOURCE_SYSTEM,Contract_Stop_Date,Contract_Type,Charge_Waste_Code,Charge_Waste_Code_Description,Is_Contracted,Units,Is_Deleted,Deletion_Date,Charge_Frequency
E247,1,Clear 3.0M Bin,CH38617,2015-06-11 00:00:00.0000000,20150611,744108,153.540,VRP,2018-06-11 00:00:00.0000000,R3,NULL,NULL,0,1.000,0,NULL,11
NULL,M,Rent Monthly 1.5M Recycle,CH101765,2017-01-13 00:00:00.0000000,20170113,756177,5.000,VRP,2018-01-13 00:00:00.0000000,SO,NULL,NULL,0,1.000,0,NULL,NULL
NULL,R,Tip P/Load 6.0M Bin (LO),CH133532,2021-02-05 00:00:00.0000000,20210205,881867,0.000,VRP,2021-05-05 00:00:00.0000000,T,NULL,NULL,0,1.000,1,2021-11-15 01:51:51.6720000,REQ
NULL,R,Tip P/Tonne 10M Bin (HL),CH293929,2020-03-09 00:00:00.0000000,20200309,463600,87.000,VRP,2023-03-08 00:00:00.0000000,D,NULL,NULL,1,1.000,0,NULL,REQ
E60,1,Clear 660LT Co-Mingle Car,CH299424,2020-07-01 00:00:00.0000000,20200701,736169,21.560,VRP,2022-06-30 00:00:00.0000000,R2,NULL,NULL,1,1.000,0,NULL,11
NULL,R,Tip P/Tonne 30M Bin (HL),CH507710,2020-02-19 00:00:00.0000000,20200219,795486,70.460,VRP,2021-02-18 00:00:00.0000000,SO,NULL,NULL,0,1.000,1,2021-11-15 01:51:51.6720000,REQ
NULL,8,Grease Trap Serv Nil Chg,CH105428,2020-01-01 00:00:00.0000000,20200101,783093,0.000,VRP,2022-12-31 00:00:00.0000000,D,K110,Grease Trap Waste,1,2000.000,0,NULL,84
NULL,R,Clear 9.0M Skip Bin,CH538896,2021-09-15 00:00:00.0000000,20210915,1521467,190.000,VRP,2022-09-14 00:00:00.0000000,N,NULL,NULL,0,1.000,1,2021-11-15 01:51:51.6720000,REQ
C250,R,Clear 3.0M Bin,CH234253,2021-05-10 00:00:00.0000000,20210510,446169,202.880,VRP,2024-05-10 00:00:00.0000000,RN,N004,Dust,1,1.000,0,NULL,REQ
E25,1,Clear 360LT Rec Nil Chg,CH180469,2017-06-30 00:00:00.0000000,20170630,509126,0.000,VRP,2050-06-30 00:00:00.0000000,D,NULL,NULL,1,3.000,0,NULL,11
DCXDABSAAC,R,Rebate for Cardboard,CH513830,2019-07-01 00:00:00.0000000,20190701,634675,243.000,VRP,2024-06-30 00:00:00.0000000,D,NULL,NULL,1,1.000,0,NULL,REQ
NULL,12,Grease Trap Service P/LTR,CH67921,2021-05-03 00:00:00.0000000,20210503,1407254,0.210,VRP,2023-05-03 00:00:00.0000000,SN,NULL,NULL,1,1285.000,0,NULL,C1
