Category_Code,Category_Description,Service_Code,Service_Code_Description,Service_Code_Unit_of_Measure,Container_Size,Is_Rental_Flag,Is_Service_Flag,Inscope_WP_Flag,Inscope_OC_Flag,Service_Lift_Type,Service_Waste_Stream,SK_Service,Activity_Name,Record_Volume,Source_System
550,MGB Hygienic,555040,Repair 50LT Sanitary,EA,0,0,0,0,0,N/A,N/A,70765,C&I,0,VRP
980,GST,980000,Goods and Service Tax,EA,0,0,0,0,0,N/A,N/A,35013,Sale of Other,0,VRP
600,MGB Co-Mingle,606600,Clear 660LT Co-Mingle Car,M3,0.66,0,1,1,1,Rear Lift,Co-Mingle,53578,C&I,1,VRP
900,Miscellaneous,900074,Waste Plus(Excess Weight),EA,0,0,0,0,0,N/A,N/A,24455,Sale of Other,0,VRP
200,Roll On Roll Off,202042,Remove 20M Bin,EA,0,0,0,0,0,RORO,General Waste,55884,C&I,0,VRP
555,MGB Refresh Hygienic,557000,Service Auto Sanipod,EA,0,0,1,0,0,N/A,N/A,52654,C&I,1,VRP
180,Front Lift Recycling,186072,Clear 6.0M Rec Nil Charge,M3,6,0,1,0,0,Front Lift,Recycling,8332,C&I,1,VRP
100,Front Lift,100067,FL Wkly Weight Charge,TON,0,0,1,0,0,Front Lift,General Waste,78710,C&I,0,VRP
600,MGB Co-Mingle,601141,Deliver 1100LT Co-Mingle,EA,0,0,0,0,0,Rear Lift,Co-Mingle,79811,C&I,0,VRP
280,Roll On Roll Off Recyclin,283072,Clear 30M Rec Nil Charge,M3,30,0,1,0,0,RORO,Recycling,28069,C&I,1,VRP
570,MGB Confidential,572441,Deliver 240LT Conf Cart,EA,0,0,0,0,0,N/A,N/A,87711,C&I,0,VRP
992,Adjustments,998000,Transfer Father A/C - GST,EA,0,0,0,0,0,N/A,N/A,91604,Sale of Other,0,VRP
100,Front Lift,100062,Charge Weekend Service,EA,0,0,0,0,0,Front Lift,General Waste,92205,C&I,0,VRP
100,Front Lift,104500,Clear 4.5M Bin,M3,4.5,0,1,1,1,Front Lift,General Waste,80432,C&I,1,VRP
100,Front Lift,100090,Credit Adjustment,ADJ,0,0,0,0,0,Front Lift,General Waste,78324,C&I,0,VRP
100,Front Lift,101542,Remove 1.5M Bin,EA,0,0,0,0,0,Front Lift,General Waste,50639,C&I,0,VRP
850,Recycled Product,859594,Rebate for Recycling,EA,0,0,1,0,0,N/A,N/A,68797,Rebate,0,VRP
555,MGB Refresh Hygienic,557081,Mth Charge Auto SaniPod,EA,0,0,0,0,0,N/A,N/A,76106,C&I,0,VRP
240,Hook Lift,247542,Remove 7.5M Bin (HL),EA,0,0,0,0,0,RORO,General Waste,67619,C&I,0,VRP
300,Lift On,300341,Deliver 3.0M Bin (LO),EA,0,0,0,0,0,N/A,N/A,87348,C&I,0,VRP
600,MGB Co-Mingle,602400,Clear 240LT Co-Mingle Car,M3,0.24,0,1,1,1,Rear Lift,Co-Mingle,76299,C&I,1,VRP
600,MGB Co-Mingle,600055,Charge Attendance,EA,0,0,0,0,0,Rear Lift,Co-Mingle,10980,C&I,0,VRP
